"Name","Path","Position","Is Active","Url Key","Description","Image","Page Title","Meta Keywords","Meta Description","Include In Menu","Display Mode","CMS Block","Is Anchor","Availabe Sort By","Default Sort By","Page Layout","Custom Layout Update"
"53-62","Default","1","Yes","53-62-c1","<p>From the moment the C1 Corvette made its Motorama debut, the public was bowled over by its clean sheet look and purpose. And the buzz only grew. All-new styling in 1956 vaulted the Corvette from true roadster to true classic, a status later crowned by the milestone ""Fuelie"" 4-speed. Luxury melded with performance in perfect proportion. Tweaks, tucks and power gains kept the cross flags faithful bewitched right up to the end of an enviable run. Naturally, such a Corvette parts mix calls for a deep inventory covering a wide span &ndash; because when you need it, you want it.</p>
<p>As you click deeper into our 1953-1962 C1 Corvette parts web catalog, you will find just about every Corvette part needed to complete a frame-off restoration. Our page after page layout of organized Corvette parts, Corvette tools, restoration tips, ""how to"" articles and more make Zip Corvette your one-stop-shop for just about anything related to your 1953-1962 C1 Corvette.</p>
<hr />
<div class=""intro-links"">
  <div class=""icon pull-left""><i class=""icon-wrench""></i></div>
  <div class=""misc-links""> <a href=""http://www.corvettemagazine.com/tech-articles/c1/"" title=""C1 Corvette Parts Technical Articles"" target=""_blank"">C1 Technical Articles</a></div>
  <div class=""icon pull-left""> <i class=""icon-bookmark""></i></div>
  <div class=""misc-links""> <a title=""C1 Corvette Parts Blog Posts"" href=""http://blog.zip-corvette.com/vettetag/c1-corvette/"" target=""_blank"">C1 Parts Blog Posts</a></div>
  <div class=""icon pull-left""> <i class=""icon-book""></i></div>
  <div class=""misc-links""> <a title=""C1 Corvette Parts Catalog Download"" href=""/request-catalog"">C1 Catalog Download</a></div>
</div>
","c1-corvette-top-category.jpg","C1 Corvette Parts (1953-1962)","C1 Corvette Parts, Corvette Restoration Parts, Corvette Accessories, Chevrolet Corvette, 1953-1962 Corvette Parts","Buy C1 Corvette Parts including Corvette Brakes, Engine, Exhaust, Exterior, Wheels and more for any 1953-1962 C1 Corvette.","Yes","Products only_AND_Static block only","","Yes","","Best Value","No layout updates","<reference name=""mana.catalog.leftnav"">
    <action method=""setData"">
        <instruction>hide_all_filters</instruction>
        <value>1</value>
    </action>
<action method=""setData"">
        <instruction>show_category</instruction>
        <value>1</value>
    </action>
<action method=""setData"">
        <instruction>show_year</instruction>
        <value>1</value>
    </action>
 <action method=""setData"">
        <instruction>show_brands</instruction>
        <value>1</value>
    </action>
<action method=""setData"">
        <instruction>show_price</instruction>
        <value>1</value>
    </action>
</reference> "
"63-67","Default","2","Yes","63-67-c2","<p>In a pen stroke, Bill Mitchell cemented the 1963 Corvette coupeâ€™s standing as an icon of style. All-new in almost every way, Sting Rays leapfrogged earlier cars in a trifecta of looks, handling and power. Nipping at the heels of independent rear suspension and 4-wheel discs, the Mark IV big-block elevated performance to unheard of heights. Other notable firsts included pop-up headlights, cast wheels, leather and side exhaust. Refinements were many. Naturally, such a parts mix calls for a deep inventory covering a wide span â€“ because when you need it, you want it. Where to find it all? You just did.</p>
<hr />
<div class=""intro-links"">
  <div class=""icon pull-left""><i class=""icon-wrench""></i></div>
  <div class=""misc-links""> <a href=""http://www.corvettemagazine.com/tech-articles/c2/"" title=""C2 Corvette Parts Technical Articles"" target=""_blank"">C2 Technical Articles</a></div>
  <div class=""icon pull-left""> <i class=""icon-bookmark""></i></div>
  <div class=""misc-links""> <a title=""C2 Corvette Parts Blog Posts"" href=""http://blog.zip-corvette.com/vettetag/c2-corvette/"" target=""_blank"">C2 Parts Blog Posts</a></div>
  <div class=""icon pull-left""> <i class=""icon-book""></i></div>
  <div class=""misc-links""> <a title=""C2 Corvette Parts Catalog Download"" href=""/request-catalog"">C2 Catalog Download</a></div>
</div>
","c2-corvette-top-category.jpg","C2 Corvette Parts (1963-1967)","C2 Corvette Parts, Corvette Restoration Parts, Corvette Accessories, Chevrolet Corvette","Buy C2 Corvette Parts online at Zip Corvette. The source for 1963-1967 C2 Corvette Parts since 1977. Huge selection,most parts in stock and same day shipping.","Yes","Products only_AND_Static block only","","Yes","","Best Value","No layout updates","<reference name=""mana.catalog.leftnav"">
    <action method=""setData"">
        <instruction>hide_all_filters</instruction>
        <value>1</value>
    </action>
<action method=""setData"">
        <instruction>show_category</instruction>
        <value>1</value>
    </action>
<action method=""setData"">
        <instruction>show_year</instruction>
        <value>1</value>
    </action>
 <action method=""setData"">
        <instruction>show_brands</instruction>
        <value>1</value>
    </action>
<action method=""setData"">
        <instruction>show_price</instruction>
        <value>1</value>
    </action>
</reference> "
"68-82","Default","3","Yes","68-82-c3","<p>With a 15-year run through the heart of changing times, the Shark generation or C3 Corvette era witnessed a move from ""raw"" towards refined. Tri-carbs, big blocks and track worthy suspensions dropped off dealer order forms. Chrome bumpers yielded to urethane caps. Fast backs replaced pop out glass. Automatics became the gear changer of choice for Corvette owners and special editions spiced the base model Corvettes. Obviously we\'re talking about a diverse mix of Corvette parts here. One that calls for a deep inventory covering a wide span - because when you need it you want it.</p><p>As you click deeper into our 1968-1982 C3 Corvette parts web catalog you will find just about every Corvette part needed to complete a frame-off restoration. Our page after page layout of organized Corvette parts, Corvette tools, restoration tips, ""how to"" articles and more make Zip Corvette your one-stop-shop for just about anything related to your 1968-1982 C3 Corvette.</p>
<hr />
<div class=""intro-links"">
  <div class=""icon pull-left""><i class=""icon-wrench""></i></div>
  <div class=""misc-links""> <a href=""http://www.corvettemagazine.com/tech-articles/c3/"" title=""C3 Corvette Parts Technical Articles"" target=""_blank"">C3 Technical Articles</a></div>
  <div class=""icon pull-left""> <i class=""icon-bookmark""></i></div>
  <div class=""misc-links""> <a title=""C3 Corvette Parts Blog Posts"" href=""http://blog.zip-corvette.com/vettetag/c3-corvette/"" target=""_blank"">C3 Parts Blog Posts</a></div>
  <div class=""icon pull-left""> <i class=""icon-book""></i></div>
  <div class=""misc-links""> <a title=""C3 Corvette Parts Catalog Download"" href=""/request-catalog"">C3 Catalog Download</a></div>
</div>
","c3-corvette-top-category.jpg","C3 Corvette Parts (1968-1982)","C3 Corvette Parts,Corvette Restoration Parts, Corvette Accessories,Chevrolet Corvette","Buy C3 Corvette Parts online at Zip Corvette. Specializing in 1968-1982 C3 Corvette Parts since 1977. Huge selection,most parts in stock and same day shipping.","Yes","Products only_AND_Static block only","","Yes","","Best Value","No layout updates","<reference name=""mana.catalog.leftnav"">
    <action method=""setData"">
        <instruction>hide_all_filters</instruction>
        <value>1</value>
    </action>
<action method=""setData"">
        <instruction>show_category</instruction>
        <value>1</value>
    </action>
<action method=""setData"">
        <instruction>show_year</instruction>
        <value>1</value>
    </action>
 <action method=""setData"">
        <instruction>show_brands</instruction>
        <value>1</value>
    </action>
<action method=""setData"">
        <instruction>show_price</instruction>
        <value>1</value>
    </action>
</reference> "
"84-96 C4","Default","4","Yes","84-96-c4","<p>Surprising as it may sound, the earliest C4 Corvettes are over 25 years old! In celebration of this wondrous fact, Zip has loaded up with restoration Corvette parts such as Interior Items Body Weatherstrip Kits, Cooling System Components and more to help keep your late model in peak condition. Of course, we\'ve also included an exciting array of interior, exterior, underhood styling enhancements, performance bolt-ons and exhaust upgrades for 1984-1996 Corvettes. Be sure to check back often as we are adding new Corvette parts and accessories all the time.</p>
<hr />
<div class=""intro-links"">
  <div class=""icon pull-left""><i class=""icon-wrench""></i></div>
  <div class=""misc-links""> <a href=""http://www.corvettemagazine.com/tech-articles/c4/"" title=""C4 Corvette Parts Technical Articles"" target=""_blank"">C4 Technical Articles</a></div>
  <div class=""icon pull-left""> <i class=""icon-bookmark""></i></div>
  <div class=""misc-links""> <a title=""C4 Corvette Parts Blog Posts"" href=""http://blog.zip-corvette.com/vettetag/c4-corvette/"" target=""_blank"">C4 Parts Blog Posts</a></div>
  <div class=""icon pull-left""> <i class=""icon-book""></i></div>
  <div class=""misc-links""> <a title=""C4 Corvette Parts Catalog Download"" href=""/request-catalog"">C4 Catalog Download</a></div>
</div>","c4-corvette-top-category.jpg","C4 Corvette Parts (1984-1996)","C4 Corvette Parts, Corvette Performance Parts, Corvette Restoration Parts, Corvette Accessories, Chevrolet Corvette","Buy C4 Corvette Parts and Accessories online at Zip Corvette. Add performance and styling to your 1984-1996 C4 Corvette with nearly unlimited options.","Yes","Products only_AND_Static block only","","Yes","","Best Value","No layout updates","<reference name=""mana.catalog.leftnav"">
    <action method=""setData"">
        <instruction>hide_all_filters</instruction>
        <value>1</value>
    </action>
<action method=""setData"">
        <instruction>show_category</instruction>
        <value>1</value>
    </action>
<action method=""setData"">
        <instruction>show_year</instruction>
        <value>1</value>
    </action>
 <action method=""setData"">
        <instruction>show_brands</instruction>
        <value>1</value>
    </action>
<action method=""setData"">
        <instruction>show_price</instruction>
        <value>1</value>
    </action>
</reference> "
"97-04 C5","Default","5","Yes","97-04-c5","<p>A watershed year for the Corvette, 1997 saw the introduction of generation five - and a slew of engineering milestones including hydroformed frame rails, rear transaxle, new design LS series Corvette engine and double wishbone suspension. Now a world car in the truest sense, the C5 Corvette was the embodiment of leap forward thinking and execution. And it only got better each succeeding year! Feast your eyes on an amazing array of interior, exterior, underhood styling enhancements, performance bolt-ons and original GM replacement parts to turn your C5 Corvette into a work of singular self expression.</p>
<hr />
<div class=""intro-links"">
  <div class=""icon pull-left""><i class=""icon-wrench""></i></div>
  <div class=""misc-links""> <a href=""http://www.corvettemagazine.com/tech-articles/c5/"" title=""C5 Corvette Parts Technical Articles"" target=""_blank"">C5 Technical Articles</a></div>
  <div class=""icon pull-left""> <i class=""icon-bookmark""></i></div>
  <div class=""misc-links""> <a title=""C5 Corvette Parts Blog Posts"" href=""http://blog.zip-corvette.com/vettetag/c5-corvette/"" target=""_blank"">C5 Parts Blog Posts</a></div>
  <div class=""icon pull-left""> <i class=""icon-book""></i></div>
  <div class=""misc-links""> <a title=""C5 Corvette Parts Catalog Download"" href=""/request-catalog"">C5 Catalog Download</a></div>
</div>","c5-corvette-top-category.jpg","C5 Corvette Parts (1997-2004)","C5 Corvette Parts, Corvette Performance Parts, Corvette Restoration Parts, Corvette Accessories, Chevrolet Corvette","Buy C5 Corvette Parts and Accessories online at Zip Corvette. Add performance and styling to your 1997-2004 C5 Corvette with nearly unlimited options.","Yes","Products only_AND_Static block only","","Yes","","Best Value","No layout updates","<reference name=""mana.catalog.leftnav"">
    <action method=""setData"">
        <instruction>hide_all_filters</instruction>
        <value>1</value>
    </action>
<action method=""setData"">
        <instruction>show_category</instruction>
        <value>1</value>
    </action>
 <action method=""setData"">
        <instruction>show_brands</instruction>
        <value>1</value>
    </action>
<action method=""setData"">
        <instruction>show_price</instruction>
        <value>1</value>
    </action>
</reference> "
"05-13 C6","Default","6","Yes","05-13-c6","<h1>C6 Corvette Parts (2005-2013)</h1>
<p>Since its smashing debut, worldly scribes and backyard bench racers alike have lauded the C6 Corvette for its expressive styling and impressive performance. While we wholeheartedly agree with every word, we equally insist there\'s room for ""more"" on both accounts!</p>
<p>You\'ll find an exciting selection of Corvette interior, exterior, under hood enhancements, performance bolt-ons and C6 Corvette accessories throughout our web catalog. Our page after page layout of organized Corvette parts and accessories, Corvette tools,""how to"" articles and more make Zip Corvette your one-stop-shop for just about anything related to your 2005-2013 C6 Corvette...</p>
<hr />
<div class=""intro-links"">
  <div class=""icon pull-left""><i class=""icon-wrench""></i></div>
  <div class=""misc-links""> <a title=""C6 Corvette Parts Technical Articles"" href=""http://www.corvettemagazine.com/tech-articles/c6/"" target=""_blank"">C6 Technical Articles</a></div>
  <div class=""icon pull-left""> <i class=""icon-bookmark""></i></div>
  <div class=""misc-links""> <a title=""C6 Corvette Parts Blog Posts"" href=""http://blog.zip-corvette.com/vettetag/c6-corvette/"" target=""_blank"">C6 Parts Blog Posts</a></div>
  <div class=""icon pull-left""> <i class=""icon-book""></i></div>
  <div class=""misc-links""> <a title=""C6 Corvette Parts Catalog Download"" href=""/request-catalog"">C6 Catalog Download</a></div>
</div>
","c6-corvette-top-category.jpg","C6 Corvette Parts (2005-2013)","C6 Corvette Parts, Corvette Performance Parts, Corvette Accessories, Chevrolet Corvette, Corvette Exhaust","Buy C6 Corvette Parts including Corvette Brakes, Engine, Exhaust, Exterior, Wheels and more for any 2005-2013 C6, Z06, Grand Sport or ZR1 Corvette.","Yes","Products only_AND_Static block only","","Yes","","Best Value","No layout updates","<reference name=""mana.catalog.leftnav"">
    <action method=""setData"">
        <instruction>hide_all_filters</instruction>
        <value>1</value>
    </action>
<action method=""setData"">
        <instruction>show_category</instruction>
        <value>1</value>
    </action>
 <action method=""setData"">
        <instruction>show_brands</instruction>
        <value>1</value>
    </action>
<action method=""setData"">
        <instruction>show_price</instruction>
        <value>1</value>
    </action>
</reference> "
"Accessories","Default","8","Yes","accessories","Zip has Corvette accessories for Corvette enthusiasts of all ages. Whether you are looking to add to your collectibles or find that perfect Corvette gift, you will not find a better selection of accessories. Shop around some of the many accessory groups below including Corvette radios, car covers, die cast models, Zip gift cards and many more for that perfect prize. Looking for <a href=""/apparel.html"">Corvette Apparel</a> instead? Don\'t worry Zip has plenty of apparel for the little ones as well as <a href=""/apparel/corvette-ladies-only-apparel.html"">Ladies Corvette Apparel</a> & <a href=""/apparel/corvette-t-shirts.html"">Men\'s Corvette Apparel</a> available whether you own a 1963 split window or a new Corvette Stingray.","accessories-category.jpg","Corvette Accessories, Corvette Gifts and More","Corvette Accessories, Corvette Parts, C1, C2, C3, C4, C5, C6, C7 Corvette Gifts","Browse our huge selection of Corvette Accessories. We have accessories, apparel, art and so much more for 1953 C1 - 2016 C7 Corvette owners. Many accessories are GM licensed, all are of high quality and make great Corvette gifts.","Yes","Products only_AND_Static block only","fathers_day_offer","Yes","","","No layout updates","<reference name=""mana.catalog.leftnav"">
    <action method=""setData"">
        <instruction>hide_all_filters</instruction>
        <value>1</value>
    </action>
<action method=""setData"">
        <instruction>show_category</instruction>
        <value>1</value>
    </action>
 <action method=""setData"">
        <instruction>show_brands</instruction>
        <value>1</value>
    </action>
<action method=""setData"">
        <instruction>show_price</instruction>
        <value>1</value>
    </action>
</reference> "
"Apparel","Default","9","Yes","apparel","<p>On the day that you purchased your Corvette, whether it was a black on red 1959 Corvette, a high powered ZR-1 of the C4 era or a stock C6 you became more than just a car owner. You may not have realized it at the time, but what you thought was just another hobby would soon turn out to be a whole new lifestyle. What better way to support the Corvette lifestyle then with new Corvette T-Shirts & Apparel from Zip?</p><p>We have t-shirts & apparel available for women, men and children of all ages. Are you gift shopping for a Corvette enthusiast? If so, browse around some of the most popular Corvette shirts, jackets, watches and more for that perfect Corvette gift.</p>","corvette-apparel-top-category.jpg","Corvette T-Shirts & Apparel","Corvette Apparel, Corvette T-Shirts, Corvette Jackets, Corvette Hats, Corvette Sunglasses, C1, C2, C3, C4, C5, C6, C7","Buy Corvette T-shirts & Apparel from Zip Corvette. Shirts, Hats, Jackets, Watches, Sunglasses, more. Huge selection, most in stock, same day shipping.","Yes","Products only_AND_Static block only","fathers_day_offer","Yes","","","No layout updates","<reference name=""mana.catalog.leftnav"">
    <action method=""setData"">
        <instruction>hide_all_filters</instruction>
        <value>1</value>
    </action>
<action method=""setData"">
        <instruction>show_category</instruction>
        <value>1</value>
    </action>
<action method=""setData"">
        <instruction>show_accessorycolor</instruction>
        <value>1</value>
    </action>
<action method=""setData"">
        <instruction>show_apparelcolor</instruction>
        <value>1</value>
    </action>
<action method=""setData"">
        <instruction>show_apparelsizes</instruction>
        <value>1</value>
    </action>
<action method=""setData"">
        <instruction>show_price</instruction>
        <value>1</value>
    </action>
</reference> "
"Books & Manuals","Default","10","Yes","books-manuals","<h1>Corvette Books & Manuals</h1>
If you are in need of Corvette related literature, Zip has you covered. Corvette Assembly and Owners Manuals, Service Manuals, Code Books and more are available for those in need of mechanical assistance and we have a variety of fact based Corvette History books and Coffee Table resources that are fun for everyone to read.","corvette-books-and-manuals-top-category.jpg","Corvette Books & Manuals","Corvette Books & Manuals","Buy Corvette Books and Manuals from Zip Corvette. Original Chevrolet Corvette owner\'s manuals, historical books and more. Huge selection, most in stock, same day shipping.","Yes","Products only_AND_Static block only","fathers_day_offer","Yes","","","No layout updates",""
"Shop By Brand","Default","11","Yes","corvette-brands","<p>Zip carries the most popular brand names associated with the Corvette parts & accessories industry. Over the past 30+ years we have built relationships with the top manufacturers including Corsa Exhaust, Lloyd Floor Mats, Vortech Superchargers and more. This experience and reputation means that now we can offer over 40 popular brand name Corvette parts and accessories to you. Most of the parts and accessories sold by these top Corvette brand name manufacturers are in stock at Zip so you can expect fast shipping along with the best customer service available. Buy brand name Corvette parts and accessories at Zip so that quality is not an issue.</p>","","Popular Corvette Parts Brands","Corvette Parts, Popular Brands","Buy Brand Name Corvette Parts & Accessories online at Zip Corvette. Over 40 Brands including Corsa Exhaust, Kooks Headers, Lloyd Mats, MSD, AFE and more.","Yes","Products only_AND_Static block only","","Yes","","","No layout updates","<reference name=""mana.catalog.leftnav"">
    <action method=""setData"">
        <instruction>hide_all_filters</instruction>
        <value>1</value>
    </action>
<action method=""setData"">
        <instruction>show_category</instruction>
        <value>1</value>
    </action>
 <action method=""setData"">
        <instruction>show_brands</instruction>
        <value>1</value>
    </action>
<action method=""setData"">
        <instruction>show_year</instruction>
        <value>1</value>
    </action>
<action method=""setData"">
        <instruction>show_price</instruction>
        <value>1</value>
    </action>
</reference> "
